,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
abca9,2229.2491364824277,-0.5276775674148786,0.14489178372799472,-3.641873637262189,0.0002706609295478564,0.004330574872765703
abcb10,633.8548297017613,0.06853749483102345,0.12187711080745703,0.5623491923705004,0.5738781283724803,0.7141042366695963
abcb11,4858.342885218706,-0.9836518757044851,0.19681005152179284,-4.9979758050902445,5.793525209434839e-07,1.8539280670191485e-05
abcb4,7800.6039114662335,0.7814766986315238,0.2097755018957726,3.7253001021053556,0.00019508299499554883,0.0037455935039145375
abcb5,67.36171771710909,-0.1702405403673575,0.31039119597602977,-0.548470905664813,0.583368601319314,0.7141042366695963
abcb6,430.5773672201821,-0.28106387861686555,0.2034809898283132,-1.3812783142740401,0.1671934033078012,0.3489253634249764
abcb7,570.0543755471592,-0.1783269878953549,0.13554885738482186,-1.3155919668808886,0.18831103123524495,0.3766220624704899
abcb8,299.6447444060817,0.38144484710492976,0.15534723203868347,2.4554338181574105,0.014071466047853691,0.06754303702969772
abcb9,165.98705476513203,-0.015432950995581368,0.20152340138604982,-0.07658143366693737,0.9389565293592039,0.970852127427524
abcc1,203.72727110391546,0.6863484301615808,0.2753930522206024,2.492250347738564,0.012693653185789442,0.06754303702969772
abcc10,249.52938590157964,0.03330584357280376,0.1917465740404909,0.17369720288077012,0.8621034358877288,0.9404764755138858
abcc12,0.8396223336576837,-2.410836221834291,1.9711792081345987,-1.2230426395963034,0.2213135917528175,
abcc2,9972.274342637558,-0.33882158476592655,0.19741290026700944,-1.7163092397085284,0.08610545809399806,0.22961455491732813
abcc3,4130.893953107036,0.02947730545102792,0.15378714751162034,0.19167600107024926,0.8479960057781052,0.9404764755138858
abcc4,292.4604105251618,0.56251046764554,0.24947799412995483,2.2547498411925035,0.02414903527454499,0.09659614109817996
abcc5,600.361276942937,0.7584098201950921,0.30883733354967957,2.455693459978323,0.014061304453665893,0.06754303702969772
abcc6,4839.478710968474,-0.03826924830164956,0.25028202287125034,-0.1529045029388146,0.8784735848383436,0.9456154001004646
abcc8,1.1311857128956468,-1.321141403652425,2.2605579326908964,-0.5844315620258316,0.5589299972397854,
abcc9,7492.08531642623,-0.31416691962325716,0.20379740550783632,-1.5415648635977213,0.12317936938622792,0.30321075541225334
abcd1,132.64058787771773,0.500661279859721,0.20194144526311483,2.4792398569169207,0.013166273389673404,0.06754303702969772
abcd2,25.097307481276545,0.5385361858420419,0.3739280177954672,1.4402135176097257,0.14980699996761115,0.3489253634249764
abcd3,4977.857458644187,0.13258174109551593,0.15841085592898874,0.8369485810678827,0.40262147123245584,0.5768904662435188
abcd4,787.6227976866098,-0.34313545580166366,0.11316137592941264,-3.0322665572368384,0.0024272475923118935,0.023301576886194178
abce1,1204.8760530655331,0.19177012729417547,0.17475078956716372,1.0973920505261612,0.27247004697242416,0.4433410933788597
abcf1,747.1517175574613,0.0781393320887937,0.14410280676939602,0.5422471209310867,0.5876482780926886,0.7141042366695963
abcf2,382.2595896978565,0.373041419778116,0.13987545491834785,2.6669541128275758,0.007654212180688133,0.04898695795640406
abcf3,532.2595702411894,-0.0017730904255328546,0.1581823783719988,-0.011209152648868782,0.991056577445052,0.991056577445052
abcg1,262.8959810748821,-0.11286915942019597,0.2618927026387687,-0.43097481633872625,0.6664866819806483,0.7802770910992955
abcg2,1290.3208297148606,-0.8314007202830851,0.2935599743842391,-2.8321324186888948,0.00462386955984287,0.03392351464811116
abcg4,3.3693153057896628,2.559394170398747,1.25165005977182,2.04481608131376,0.04087299372475707,
abcg5,2159.234463624618,-0.20641936557099214,0.1827075283711433,-1.1297802964729606,0.2585688126896458,0.43548431610887717
abcg8,1855.7490702129573,-0.21846277565359315,0.23195213939957873,-0.9418441934577384,0.34627241530789366,0.5540358644926299
abhd10,733.7812806838753,-0.3027515125706871,0.16470650480511695,-1.8381272368623627,0.0660436585651061,0.21133970740833954
abhd11,185.76090429975224,-0.02761007011579175,0.14747899041850507,-0.18721358233767346,0.851493175948143,0.9404764755138858
