Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Arginine biosynthesis,-0.5319666333162474,-1.4591348933686872,0.06534090909090909,0.3688568352432783,0.841,6/19,6.16%,ass1;gpt;gpt2;gls2;nags;cps1
prerank,Inflammatory bowel disease,0.5000360376525141,1.4576083120375845,0.03551912568306011,0.07882779531885932,0.987,19/47,21.96%,il1a;il1b;tnf;jun;il2;ifng;il18;ifngr2;il13;il18rap;tlr2;ifngr1;tgfb3;nod2;tgfb1;stat1;il6;stat4;stat3
prerank,HIF-1 signaling pathway,0.44274993092631937,1.4461698574146105,0.01875,0.08619096086126415,0.993,39/100,24.41%,serpine1;egf;nos2;epo;cdkn1a;hk2;ifng;prkcg;timp1;aldoa;ifngr2;cybb;hkdc1;pfkp;bcl2;gapdh;ifngr1;hk1;angpt1;angpt4;eno3;egln3;camk2b;prkcb;rbx1;eno1;pgk1;egln2;mapk1;il6;hk3;stat3;pik3r2;mtor;hif1a;pik3cd;aldoc;map2k2;hmox1
prerank,Natural killer cell mediated cytotoxicity,0.4497044275135925,1.445176562661316,0.01875,0.08586500030268446,0.993,38/90,24.30%,tnf;kir3dl2;ppp3r2;hcst;kir3dl1;cd48;ifng;prkcg;itgb2;tyrobp;icam1;klrc2;rac2;ifngr2;shc3;rac3;ifngr1;syk;shc2;fcer1g;hras;zap70;shc1;prkcb;bid;mapk1;lcp2;rac1;nras;fas;ifnb1;klrc3;pik3r2;ptpn6;pik3cd;cd247;map2k2;vav2
prerank,Oocyte meiosis,0.4374538538090268,1.4447384875416243,0.022113022113022112,0.0851142809194495,0.993,34/106,23.16%,adcy8;calml3;cdk1;ccne1;pttg1;bub1;ppp3r2;cdc25c;pkmyt1;cdc20;rps6ka1;ccnb1;ywhah;ccnb2;ywhaz;mad2l1;adcy3;mad2l2;camk2b;mapk11;ywhab;rbx1;ccne2;ppp1ca;ppp2r5b;ywhag;mapk1;ppp2r1a;anapc13;itpr1;ppp2ca;itpr3;plk1;adcy7
prerank,Thyroid cancer,0.5140379380771937,1.44460601693861,0.044444444444444446,0.08418563715662011,0.993,15/36,24.25%,ret;cdkn1a;myc;bax;lef1;ccnd1;gadd45g;bak1;ntrk1;hras;mapk1;cdh1;nras;map2k2;ncoa4
prerank,Cushing syndrome,0.4184323416117373,1.4424630652415524,0.015133876600698487,0.0847268704410619,0.993,34/149,15.72%,fzd2;adcy8;wnt1;cacna1i;wnt10b;ccne1;nr5a1;fzd10;cdkn2b;e2f1;cacna1s;rasd1;mrap;wnt4;cdkn2a;cdkn1a;pomc;crhr1;lef1;wnt11;pde11a;e2f3;nceh1;ccnd1;creb3;wnt2;wnt16;fzd7;fzd3;adcy3;rap1a;fzd8;camk2b;plcb2
prerank,Allograft rejection,0.6034922855889984,1.4271397977274374,0.07974481658692185,0.09643787007178123,0.995,5/16,7.98%,tnf;il2;ifng;cd80;cd86
prerank,Phospholipase D signaling pathway,0.4176462103387221,1.4212070077706849,0.01160092807424594,0.1002512213882572,0.995,59/140,23.67%,adcy8;avpr1b;egf;ptgfr;avpr1a;mras;lpar2;plpp2;agpat2;kit;gna12;rras;pdgfrb;pik3r6;shc3;fcer1a;lpar5;pdgfa;sphk1;f2r;pld2;agpat1;cyth3;dgkq;pik3cg;plpp1;cxcr1;adcy3;syk;lpar6;shc2;lpar1;gna13;pik3r5;cyth2;ralgds;fcer1g;hras;arf6;plcb2;agpat4;shc1;cyth4;rala;dgkh;grm8;gab2;pdgfra;plcb3;mapk1;pip5k1c;nras;rhoa;pik3r2;mtor;pik3cd;adcy7;pla2g4a;map2k2
prerank,Proteoglycans in cancer,0.39970489147267135,1.4136543663624102,0.018038331454340473,0.10533340136141192,0.998,71/197,22.91%,fzd2;mmp9;lum;wnt1;col1a1;plau;wnt10b;tnf;fzd10;wnt4;cdkn1a;myc;mras;thbs1;src;prkcg;col1a2;hspb2;erbb4;wnt11;msn;cd44;rras;hgf;dcn;hbegf;ccnd1;mmp2;wnt2;cav2;wnt16;tlr2;fzd7;twist2;fzd3;actb;slc9a1;cbl;fzd8;itgav;hras;camk2b;mapk11;prkcb;hpse;cd63;cdc42;nudt16l1;tgfb1;itgb3;ppp1ca;itgb1;mapk1;iqgap1;hcls1;rac1;nras;ezr;fas;rhoa;itpr1;stat3;pik3r2;plaur;ptpn6;sdc1;fgf2;mtor;hif1a;itpr3;pik3cd
prerank,Nicotine addiction,-0.4358217133079813,-1.40823429130964,0.05574912891986063,0.4325079027968281,0.921,14/37,8.50%,grin1;gria2;gabrg2;slc17a8;gabra6;gabra3;grin2b;cacna1a;grin3a;gria4;gabra4;gabrb1;gria1;gabrg1
prerank,Transcriptional misregulation in cancer,0.40782979827444615,1.4015656955520577,0.024475524475524476,0.11511626423806427,0.998,35/152,15.30%,mmp9;mmp3;plau;mpo;hoxa9;cebpe;elane;wt1;cdkn1a;ccna2;myc;bax;ptcra;spi1;itgam;birc3;flt3;cd86;runx1;pax5;gadd45g;bcl11b;gria3;pdgfa;bak1;runx2;wnt16;lyl1;pax3;csf1r;cebpa;tfe3;bcl2l1;ntrk1;mllt3
prerank,Fc gamma R-mediated phagocytosis,0.4336857627940214,1.3945410670161709,0.030864197530864196,0.12081675842138624,0.999,37/88,24.30%,prkce;prkcg;marcks;plpp2;rac2;cfl1;marcksl1;arpc5;gsn;sphk1;pld2;lyn;actr2;hck;plpp1;arpc3;syk;arpc2;limk2;arf6;arpc5l;ptprc;prkcb;cdc42;inpp5d;gab2;arpc4;mapk1;pip5k1c;rac1;pik3r2;arpc1b;pik3cd;pla2g4a;ncf1;scin;vav2
prerank,Notch signaling pathway,0.4664237451281845,1.391410311129906,0.05622489959839357,0.1227246653583148,0.999,18/56,24.72%,hes5;lfng;ptcra;dll3;heyl;jag2;aph1b;ctbp2;psenen;tle3;maml2;psen2;hes1;dtx1;hey1;dtx3;tle6;dll1
prerank,Central carbon metabolism in cancer,0.4494195876634255,1.3903018738897068,0.043184885290148446,0.12256981675569571,0.999,31/65,23.67%,ret;myc;hk2;gck;tigar;kit;pkm;pdgfrb;flt3;slc1a5;hkdc1;pfkp;sirt6;pgam1;hk1;fgfr2;ntrk1;idh2;gls;hras;pdgfra;mapk1;slc16a3;nras;sco2;hk3;pik3r2;mtor;hif1a;pik3cd;map2k2
prerank,Arginine and proline metabolism,-0.41046117479373045,-1.3850277487943217,0.06870229007633588,0.4297154993141896,0.945,12/46,13.13%,prodh;aoc1;oat;hoga1;carns1;p4ha1;ckm;maoa;aldh7a1;cndp1;aldh3a2;arg2
prerank,Histidine metabolism,-0.4614451592564094,-1.382763813597404,0.1044776119402985,0.3808533545713317,0.947,13/22,18.74%,aoc1;carns1;amdhd1;hal;aspa;maoa;aldh3b2;aldh7a1;cndp1;aldh3a2;hnmt;uroc1;ftcd
prerank,T cell receptor signaling pathway,0.42089029830238694,1.3805673647055925,0.0416156670746634,0.13164878803726238,1.0,40/99,27.15%,tnf;jun;card11;ppp3r2;fos;icos;il2;ctla4;ifng;nfkbie;mapk10;cd3d;cd3e;pdcd1;cd8a;bcl10;hras;mapk11;ptprc;zap70;ikbkg;cdc42;nck2;mapk1;lcp2;nras;rhoa;pik3r2;ptpn6;pik3cd;cd247;map2k2;vav2;cdk4;cd40lg;grap2;pak2;prkcq;grb2;pik3r3
prerank,Glutamatergic synapse,-0.3475537025752577,-1.3770791676996137,0.04046242774566474,0.35055807101291814,0.954,27/105,10.18%,grik3;grin1;gria2;grik4;slc1a2;slc17a8;slc1a6;grm3;grik5;grin2b;homer2;adcy1;gngt1;plcb4;cacna1a;gls2;grin3a;grik2;gria4;shank1;gria1;itpr2;pld1;dlgap1;grm4;pla2g4d;grm1
prerank,MAPK signaling pathway,0.3760621479086737,1.3553944802902027,0.0183585313174946,0.15878555175732115,1.0,63/273,17.06%,cacna2d3;cacna1e;egf;il1a;fgf21;cacna1i;il1b;dusp8;tnf;cacna1s;jun;fgf20;ppp3r2;fos;relb;dusp2;myc;mras;efna3;rps6ka1;cacna2d1;prkcg;fgf23;erbb4;hspa2;kit;jund;gna12;mapk10;rac2;rras;hgf;pdgfrb;flt3;fgf17;cacnb1;gadd45g;pdgfa;tradd;rac3;tgfa;angpt1;csf1r;nfkb2;pgf;angpt4;tgfb3;dusp1;rap1a;daxx;cdc25b;fgfr2;irak1;ntrk1;hras;mapkapk2;mapk11;myd88;hspa8;prkcb;tgfbr1;ikbkg;cdc42
prerank,Human papillomavirus infection,0.3694357353132447,1.3507134052633993,0.0053475935828877,0.1630924091753923,1.0,96/296,23.67%,fzd2;egf;wnt1;col1a1;ibsp;wnt10b;ccne1;tnf;fzd10;hes5;e2f1;lamc3;wnt4;cdkn1a;ccna2;itga11;thbs1;bax;col6a5;lfng;thbs2;col1a2;itga6;lamb3;col4a4;wnt11;heyl;pkm;col4a1;isg15;pdgfrb;ikbke;atp6v1f;lama3;atp6v0b;itga4;ccnd1;tcirg1;col4a2;creb3;wnt2;spp1;bak1;atp6v0d1;tradd;col4a5;atp6v0c;wnt16;col4a3;fzd7;ticam1;fzd3;maml2;fadd;ptgs2;atp6v1e2;fzd8;itgav;hras;bcap31;tubg1;ptger4;ikbkg;ccnd3;cdc42;col6a2;rb1;ccne2;itga2b;tnc;hes1;itgb3;atp6v1e1;ppp2r5b;atp6ap1;stat1;itgb1;mapk1;ppp2r1a;irf1;atp6v1g1;nras;fas;llgl1;tnxb;ifnb1;atp6v0a4;col9a3;pik3r2;ppp2ca;mtor;hey1;pik3cd;lama4;traf3;map2k2
prerank,Bile secretion,0.42881458747718804,1.3431307805729433,0.06388526727509779,0.17066552893176046,1.0,14/70,10.36%,aqp8;adcy8;slc10a2;slc51b;atp1b3;hmgcr;fxyd2;ugt1a1;aqp1;ugt1a10;nceh1;aqp4;abcb4;ugt2a3
prerank,Apoptosis,0.3924885625090976,1.3400780172907925,0.04378698224852071,0.17315297646679423,1.0,46/127,23.67%,tnf;jun;fos;bbc3;bax;tuba1a;birc3;pmaip1;mapk10;ctsd;cycs;gadd45g;bak1;tradd;ctss;csf2rb;bcl2;ctsc;tuba1c;ctsk;daxx;actb;tuba1b;fadd;bcl2l1;ntrk1;hras;lmnb2;ptpn13;ikbkg;dab2ip;casp7;eif2ak3;bid;capn2;mapk1;nras;fas;itpr1;pik3r2;ddit3;itpr3;pik3cd;casp6;traf1;map2k2
prerank,Cholesterol metabolism,0.4531316191785736,1.3335062112097795,0.08786610878661087,0.17972839789623166,1.0,22/48,30.66%,lpl;apoa4;tspo;pltp;nceh1;lrp2;lipa;angptl8;pcsk9;npc2;cd36;ldlr;apoc3;apoa1;angptl4;scarb1;sort1;apoa2;osbpl5;cyp7a1;ldlrap1;apoc2
prerank,Estrogen signaling pathway,0.398093955370946,1.3324354951453767,0.04884004884004884,0.17929023224137744,1.0,45/117,23.67%,adcy8;calml3;mmp9;krt20;krt23;jun;fos;pomc;krt18;src;krt12;hspa2;shc3;ctsd;hbegf;creb3;mmp2;krt36;krt17;bcl2;tgfa;krt10;adcy3;krt26;shc2;krt27;hras;plcb2;hspa8;shc1;plcb3;hsp90aa1;mapk1;nras;krt24;krt16;itpr1;rara;krt19;pik3r2;gabbr1;itpr3;pik3cd;adcy7;map2k2
